200
102 793 939 943 427 418 994 106 603 702 224 556 509 367 436 56 864 653 958 105 721 841 965 955 699 463 989 813 403 847 906 860 898 628 183 226 875 872 454 105 4 470 824 506 546 919 976 710 959 974 271 847 985 996 924 613 648 955 978 989 384 959 968 17 416 924 204 931 377 802 176 452 965 887 483 936 56 247 785 452 54 171 295 953 753 902 785 571 508 939 923 276 259 680 866 557 216 966 555 777 581 102 476 316 52 817 742 310 926 853 55 144 94 834 609 320 793 985 168 903 946 131 312 385 822 489 215 50 658 885 156 937 729 210 939 300 890 19 881 711 227 960 692 831 730 766 970 908 290 793 159 914 188 786 686 921 82 430 600 175 483 575 601 385 4 888 91 812 815 864 32 898 790 865 720 904 84 976 724 589 39 82 676 197 785 97 695 876 533 2 315 588 716 48 934 225 812 844 827 627
36 48 32 41 26 18 47 9 36 42 27 14 39 25 42 32 14 39 30 8 6 14 38 9 27 28 28 18 41 12 5 31 30 44 25 43 40 31 47 10 38 11 23 34 38 26 48 6 6 41 43 28 11 49 39 34 30 33 30 10 10 39 42 35 45 23 33 20 38 28 31 26 21 39 44 14 10 39 32 45 14 12 12 31 9 34 9 46 44 23 40 10 15 32 7 41 5 7 27 22 37 40 43 45 12 29 20 34 15 48 38 29 44 48 46 23 13 10 44 47 30 8 20 40 40 41 40 14 8 30 47 13 44 34 23 7 36 34 45 16 29 43 11 29 19 45 45 23 6 43 24 23 25 11 23 13 5 21 30 42 41 50 41 20 43 14 28 27 40 5 15 20 13 14 12 10 41 9 23 11 12 20 39 11 36 31 37 44 24 36 35 21 36 42 20 40 38 27 36 22
0 3 7 5 9 9 4 7 5 0 0 9 2 3 2 8 5 9 0 0 4 6 9 4 4 6 5 6 1 5 4 5 3 8 7 0 0 4 8 7 7 6 0 2 9 6 9 7 5 6 2 1 0 2 3 5 5 8 8 1 3 7 1 8 1 9 5 1 4 4 7 5 6 9 8 4 4 6 1 1 9 2 7 5 0 1 7 8 8 0 3 0 5 0 0 9 1 1 3 9 6 5 2 3 3 6 0 0 1 4 8 9 2 4 4 0 7 0 2 2 0 8 7 5 4 4 1 2 7 7 2 3 3 7 0 5 8 7 4 2 8 8 2 3 1 9 6 8 3 0 8 1 7 0 9 3 8 7 8 2 3 1 8 3 3 0 8 6 3 9 1 9 1 5 3 0 6 4 5 9 7 8 2 0 0 9 8 9 6 6 6 1 3 6 2 7 2 7 9 2
3 0 2 8 6 1 4 4 6 6 7 0 2 4 6 5 2 1 7 0 4 7 9 5 1 2 2 6 1 9 9 9 5 2 1 9 7 1 1 3 9 6 5 1 4 8 6 5 2 0 2 0 5 8 6 5 6 1 3 1 2 9 7 4 4 2 9 2 1 8 4 3 9 6 5 5 4 8 6 8 5 6 3 8 0 9 4 2 2 7 9 0 0 4 7 6 4 1 6 9 7 1 1 3 5 6 3 8 0 3 0 9 5 4 9 5 6 7 9 6 3 1 4 0 7 3 7 1 0 4 7 5 1 2 5 5 2 4 9 9 9 4 3 7 0 3 8 7 6 5 7 3 9 2 5 2 5 0 2 2 2 7 8 8 1 7 9 9 1 2 0 2 0 6 4 0 5 1 1 7 0 5 7 1 9 1 6 9 5 9 4 7 5 7 8 9 1 8 1 3
7 2 0 5 3 4 8 7 8 8 3 1 5 6 2 9 1 4 2 1 0 5 2 1 0 9 8 9 7 1 8 5 0 8 9 2 8 5 4 0 8 6 1 4 8 0 8 9 6 9 9 6 7 3 8 8 6 0 9 2 0 0 5 7 6 2 6 1 9 7 9 5 6 4 4 9 7 7 7 2 3 3 8 7 7 5 3 4 2 2 1 9 4 3 6 2 9 1 2 1 5 1 2 4 9 5 1 5 6 9 8 6 5 1 4 4 9 3 6 2 8 0 2 5 1 3 7 2 3 4 8 4 2 0 6 6 9 7 5 7 3 1 8 5 1 9 4 2 1 9 4 4 6 2 1 9 6 5 7 5 4 7 1 6 2 1 2 8 8 5 7 4 0 1 0 4 0 4 4 4 3 9 6 5 6 2 0 9 4 1 0 1 9 3 0 5 9 8 8 2
5 8 5 0 3 2 0 8 6 7 7 7 7 4 2 1 7 1 6 3 8 9 7 9 7 6 6 9 2 5 4 2 0 8 8 9 0 9 0 3 8 9 2 2 6 8 1 7 7 3 8 3 3 3 3 8 2 4 3 1 3 0 8 5 1 7 7 6 6 7 0 7 5 9 3 0 8 7 8 8 5 1 0 3 7 8 5 1 6 6 1 4 0 2 6 0 4 8 9 4 8 0 4 0 7 7 4 9 3 3 0 2 2 2 4 2 3 8 8 8 2 0 4 5 2 6 5 8 6 0 9 6 5 5 3 0 3 2 6 9 4 8 3 6 0 6 7 8 5 5 9 0 5 2 5 4 9 4 2 9 3 1 2 1 1 7 9 9 7 5 2 7 7 9 3 9 6 5 1 6 2 3 1 4 1 1 7 3 2 6 8 5 6 5 0 0 2 8 7 0
9 6 3 3 0 8 3 6 7 5 7 1 5 1 7 1 7 7 7 8 9 9 5 3 8 8 9 5 5 3 9 5 9 7 4 4 9 6 8 4 2 1 8 5 4 5 9 6 0 3 5 4 6 9 7 0 0 4 7 1 7 2 1 3 5 3 6 4 6 7 8 7 7 3 6 3 2 6 8 5 0 3 8 0 7 2 3 2 5 2 0 9 0 9 1 1 5 3 5 5 6 0 7 7 8 6 2 3 6 6 4 2 3 0 4 0 1 6 3 3 9 5 5 0 8 0 8 4 3 4 0 1 1 0 0 2 8 3 7 1 6 5 1 0 3 0 9 1 2 5 2 6 5 5 5 4 2 1 9 9 8 7 5 6 0 8 2 1 2 8 4 6 1 3 5 3 4 4 0 9 7 7 4 6 2 0 7 8 4 3 0 9 4 1 3 9 0 3 5 8
9 1 4 2 8 0 9 9 8 6 1 3 4 5 9 9 4 7 7 3 9 4 2 3 6 4 7 3 4 5 1 0 7 5 4 7 1 8 7 5 4 1 2 3 4 5 5 5 9 2 0 7 1 3 1 3 1 7 3 9 9 1 7 3 3 7 5 4 1 9 1 1 1 1 4 7 5 0 9 5 3 1 3 3 4 4 3 5 4 4 4 9 2 3 1 2 9 5 0 6 4 5 8 4 1 4 2 7 2 7 8 9 4 5 8 7 5 8 0 2 2 7 5 3 9 5 0 4 7 9 0 2 0 2 3 0 3 3 2 4 1 0 3 0 7 8 0 4 5 5 2 7 0 4 6 7 4 0 0 7 5 2 0 7 5 2 5 4 5 4 0 5 8 7 5 5 6 0 6 4 7 5 3 3 2 3 6 5 1 2 7 4 5 6 3 3 8 1 9 0
4 4 8 0 3 9 0 4 9 9 4 2 3 3 6 6 7 8 7 6 2 8 1 8 9 4 8 8 3 6 4 5 7 7 8 6 5 5 2 1 0 3 1 6 7 9 3 4 6 2 2 4 9 4 1 1 8 8 3 7 5 0 5 5 8 7 2 7 4 4 3 5 1 2 8 6 6 7 6 5 9 6 0 4 9 6 9 5 6 8 5 6 5 8 4 9 0 2 7 0 8 3 9 4 1 0 6 0 7 7 1 3 2 3 1 0 2 2 2 4 7 0 7 4 5 5 4 1 2 4 5 6 8 2 2 0 9 9 7 3 0 0 7 7 9 1 1 1 2 7 8 7 9 3 5 2 2 0 3 0 6 9 7 2 2 1 5 6 7 6 3 6 0 6 8 3 3 4 5 4 7 3 1 5 6 8 4 5 5 9 8 4 3 9 9 9 4 9 2 3
7 4 7 8 6 9 4 0 0 6 8 6 9 1 8 3 9 8 5 5 8 7 2 9 5 9 5 7 2 6 1 5 3 4 4 0 0 4 9 9 8 2 0 4 1 3 5 9 3 5 8 2 3 9 1 1 3 7 2 9 0 9 9 3 8 1 0 8 0 0 1 8 3 6 6 9 5 3 7 7 5 9 5 2 7 9 9 8 8 6 1 1 0 3 7 5 9 0 5 3 2 1 2 5 1 1 0 3 2 3 6 6 3 8 4 6 1 2 9 4 3 6 2 3 1 1 8 2 0 9 5 7 7 7 3 9 2 6 5 3 6 4 8 8 3 5 0 5 4 7 4 2 4 3 4 9 5 4 2 7 7 8 2 9 5 8 3 6 4 9 3 1 7 9 3 4 6 3 5 3 6 2 2 5 7 1 9 0 8 6 3 4 6 5 0 2 2 4 9 4
