300
185 141 810 745 813 518 105 870 270 892 769 346 257 803 869 829 285 324 928 799 716 460 612 679 120 976 98 108 927 839 505 152 479 303 446 779 581 901 877 927 984 916 952 259 429 461 808 977 268 984 529 195 135 733 493 79 158 924 846 839 195 9 114 814 54 713 638 343 794 848 924 542 372 104 52 961 955 9 214 344 846 126 293 825 88 417 594 988 199 641 294 135 918 266 532 594 146 863 941 440 217 286 736 783 907 932 165 674 201 864 878 479 860 433 19 875 152 613 367 889 684 879 847 856 458 446 780 758 552 228 370 403 975 34 411 473 938 977 941 983 856 852 536 742 354 480 969 2 803 115 15 357 939 499 949 851 249 257 827 653 199 141 895 477 272 443 104 737 863 852 483 865 997 90 223 955 394 157 459 921 877 952 666 316 792 951 823 327 253 223 182 937 194 898 411 939 53 134 635 218 629 954 855 234 841 319 370 801 979 654 270 27 26 613 710 750 141 976 912 994 655 159 963 632 495 597 58 976 812 893 116 924 1000 198 965 690 448 923 951 873 936 633 527 263 647 400 692 413 452 266 369 559 566 287 642 337 598 901 761 143 894 901 996 651 906 811 934 975 225 925 803 941 402 606 700 670 724 974 949 616 966 176 467 928 340 857 213 749 922 872 973 306 901 784 905 953 116 50 882 616
9 23 32 40 18 37 12 37 41 25 6 15 27 32 46 34 11 17 13 32 42 16 29 42 15 18 23 30 29 6 8 47 41 22 45 27 30 28 31 31 7 18 17 40 40 35 11 19 42 31 17 11 24 46 45 49 37 7 19 42 38 14 32 10 6 26 48 38 18 49 32 47 11 13 11 8 7 33 18 36 35 21 9 33 38 26 24 21 9 8 10 44 31 10 26 37 39 8 39 16 14 10 32 34 23 38 24 24 27 12 15 30 12 31 35 11 36 37 35 42 15 34 49 41 15 42 37 11 11 29 40 31 34 31 15 17 26 15 33 35 30 45 36 19 50 38 22 48 34 29 42 21 35 23 44 33 22 22 9 25 49 29 11 31 47 11 6 36 23 17 20 16 40 40 29 21 25 48 37 22 28 13 34 8 22 42 11 48 5 26 45 30 14 12 44 50 5 42 41 33 14 7 20 17 29 25 11 32 22 15 31 40 40 22 19 36 24 22 34 17 25 42 9 7 41 17 41 21 10 22 30 19 49 32 8 37 14 22 39 46 31 30 15 29 24 34 8 23 35 39 28 44 14 40 23 37 38 29 16 5 42 28 17 26 25 22 42 15 29 38 23 20 46 40 50 40 9 13 50 16 6 17 26 11 23 18 48 12 15 16 18 30 12 39 27 24 16 40 25 8
0 4 5 9 4 6 9 5 7 5 7 0 3 1 2 1 4 6 8 2 7 7 8 7 1 6 3 2 2 4 4 9 2 6 5 5 7 6 6 4 6 9 3 0 0 0 5 7 8 6 4 6 4 9 6 6 2 9 1 1 3 6 5 1 8 1 3 4 9 1 3 3 7 0 7 6 6 3 5 6 3 4 4 6 6 0 1 1 6 6 0 0 8 6 0 4 3 8 5 3 7 2 7 4 2 2 9 1 2 6 4 5 5 9 8 0 6 5 5 4 3 6 4 5 5 9 7 0 4 1 4 5 9 5 4 9 2 7 3 5 6 2 1 5 4 9 0 4 5 3 6 3 7 3 4 9 8 8 5 2 7 0 2 0 2 8 0 8 5 8 2 2 4 6 0 8 4 3 4 4 6 9 7 4 4 2 0 0 2 7 4 0 7 0 1 1 7 8 5 3 6 8 7 4 4 7 9 0 1 3 5 1 8 0 3 8 9 6 0 3 0 2 8 4 9 3 1 9 0 5 5 1 7 3 9 6 0 0 3 8 4 1 7 8 7 8 1 8 5 6 6 5 3 5 5 8 6 5 3 0 6 4 1 5 8 0 9 8 4 0 6 8 1 1 5 1 1 0 5 2 1 2 6 5 9 4 8 7 3 5 4 8 6 6 4 8 2 6 7 7
4 0 1 7 2 8 4 5 9 5 5 4 4 3 8 7 2 8 4 8 4 0 9 9 1 9 0 4 1 5 1 6 2 5 3 8 4 1 5 7 0 1 6 6 7 7 7 8 0 3 3 7 3 2 8 4 6 0 1 1 0 9 1 6 5 4 8 5 7 1 3 7 9 9 5 3 2 6 6 2 7 5 0 4 0 4 7 6 9 5 1 7 2 3 0 6 0 3 4 5 5 0 4 3 1 1 4 7 0 5 3 0 3 8 6 4 0 7 8 4 6 0 7 5 5 0 3 6 0 3 7 4 5 3 1 7 9 4 2 7 9 5 5 4 5 4 8 7 3 1 5 6 3 3 8 6 8 7 2 7 4 1 1 7 3 6 2 8 3 8 8 9 1 8 6 9 0 2 5 1 4 2 2 5 3 9 5 1 5 7 2 5 4 3 1 8 0 7 1 6 8 5 0 6 8 5 4 3 6 7 0 3 7 7 0 2 5 6 0 9 9 4 0 8 0 4 8 9 0 5 3 6 8 1 4 4 2 8 1 4 6 9 3 2 9 5 7 9 0 8 6 5 6 7 2 7 9 5 3 8 4 7 8 2 4 9 8 6 9 1 0 5 2 6 1 0 9 3 4 0 4 1 9 1 2 4 5 5 4 2 9 1 8 4 4 6 4 7 4 1
5 1 0 9 1 4 4 2 6 7 5 6 9 6 6 4 1 2 2 8 3 9 4 2 3 1 3 3 8 7 8 8 2 4 2 2 3 2 7 3 0 0 1 6 0 4 2 3 6 4 0 1 6 0 8 3 4 0 5 5 4 3 7 3 0 5 1 1 7 5 3 1 7 2 2 5 4 4 7 6 6 6 7 9 9 1 3 2 6 7 9 1 5 4 4 5 5 6 7 4 5 0 5 1 4 0 8 9 8 0 2 0 2 8 9 4 9 2 5 5 0 0 3 6 6 1 0 0 5 9 2 7 6 6 0 2 0 3 5 3 7 9 6 2 3 7 0 4 2 4 5 3 7 7 5 5 0 5 8 1 4 7 5 8 6 4 5 8 7 7 1 2 1 7 9 2 0 8 0 1 8 4 5 2 8 7 1 9 9 8 3 0 6 2 2 0 3 3 5 8 9 7 6 9 6 2 8 9 6 8 9 2 1 0 5 7 9 8 9 4 3 0 1 3 4 0 9 0 6 8 8 0 5 7 5 7 5 2 3 7 6 0 7 3 1 6 1 1 7 5 1 2 6 9 0 4 2 5 6 2 5 8 9 6 5 6 2 8 1 6 0 7 9 9 4 0 6 9 8 5 2 6 8 1 8 1 4 6 7 1 0 7 3 4 8 8 2 5 0 0
9 7 9 0 4 9 1 4 1 0 7 0 1 8 7 6 2 6 9 4 8 4 3 6 0 1 6 1 1 4 9 8 2 1 3 9 2 3 5 5 0 1 2 3 0 1 3 5 8 1 5 3 0 0 8 9 1 2 0 1 8 9 0 0 4 9 6 9 7 3 8 8 6 7 6 7 1 0 3 4 3 2 8 9 0 1 9 3 9 3 6 2 4 3 8 2 1 3 7 5 0 0 9 6 6 2 1 0 1 6 2 5 9 9 6 3 5 5 6 5 8 8 7 3 1 4 7 3 6 4 7 8 0 1 2 8 1 1 5 0 4 2 8 6 6 7 5 5 0 4 8 0 7 8 1 4 7 3 2 0 6 5 0 4 9 5 2 3 3 2 6 5 9 3 0 2 7 2 9 6 6 3 2 3 1 3 2 3 7 8 0 5 1 3 4 8 4 1 9 6 8 4 0 7 6 2 4 1 6 8 4 7 6 8 8 2 5 4 8 8 4 8 9 8 0 7 6 8 1 7 1 6 5 4 7 1 6 0 0 3 8 4 5 8 3 7 8 6 3 1 9 1 8 4 8 3 7 5 8 2 6 5 1 3 5 2 3 2 4 8 3 4 9 1 9 2 3 7 4 7 5 9 6 6 3 4 4 2 5 6 4 2 9 4 5 7 1 9 9 4
4 2 1 4 0 3 2 6 1 0 4 0 9 4 8 6 2 3 7 4 4 7 0 3 4 9 3 9 0 2 0 1 7 9 5 2 8 8 1 5 6 0 2 2 5 9 4 8 2 9 3 1 1 4 7 8 9 2 4 9 8 2 1 3 3 7 5 3 2 1 2 0 0 6 9 0 0 1 7 8 1 7 6 9 6 1 6 1 0 2 8 6 2 4 3 8 8 6 7 0 1 9 9 4 9 8 4 3 8 5 3 8 7 2 4 7 5 1 5 5 7 4 2 9 3 4 1 5 4 9 4 7 6 4 3 2 0 3 6 2 1 7 6 4 9 7 0 9 5 3 4 6 3 4 6 9 2 7 9 2 1 4 3 8 9 6 4 4 7 7 6 8 9 5 2 6 1 7 4 4 6 1 2 3 0 8 0 2 1 1 8 4 9 5 3 4 8 2 5 9 5 6 2 2 6 8 9 2 7 5 9 6 6 5 9 4 5 1 9 8 5 6 8 3 7 1 7 6 6 2 3 1 0 4 2 2 1 1 9 3 0 2 3 2 8 1 9 1 8 9 0 2 0 1 1 0 1 0 7 9 3 0 7 5 9 8 0 5 8 0 4 6 3 8 2 3 8 9 7 6 8 4 3 1 1 8 6 8 2 8 8 1 8 8 9 7 8 2 4 9
6 8 4 9 3 0 8 9 1 4 3 8 1 4 9 8 5 7 4 3 8 1 6 8 6 6 9 6 8 8 4 1 9 1 9 0 3 2 6 7 7 1 8 4 4 5 2 5 6 5 6 7 8 3 4 1 4 4 1 9 8 2 4 9 5 5 9 4 5 2 4 3 7 6 1 4 0 1 1 9 7 4 2 4 3 3 1 0 7 7 3 3 0 2 8 3 8 0 1 7 4 6 1 3 3 8 7 9 9 8 1 1 2 8 9 2 2 8 3 2 8 2 9 5 1 8 9 6 5 0 7 6 9 5 7 1 2 0 2 3 9 9 5 7 4 2 0 5 6 8 0 9 4 4 5 0 0 5 5 1 3 3 9 4 0 9 2 8 9 7 2 6 3 8 9 5 7 2 9 6 5 2 8 2 3 7 2 2 0 6 5 7 6 4 1 2 6 3 6 9 5 9 2 0 9 9 7 1 8 7 3 8 6 2 6 8 8 3 8 1 5 2 4 7 9 8 7 3 7 4 0 0 8 4 8 8 5 6 0 0 8 5 9 6 5 7 7 7 7 5 0 5 1 6 3 3 4 2 3 5 6 5 9 4 5 1 2 3 6 8 2 4 4 7 4 6 5 6 9 4 3 1 9 9 8 0 9 2 9 6 9 5 3 0 2 8 9 8 4 9
9 4 4 1 2 8 0 7 7 1 8 1 3 0 0 8 1 0 4 2 4 4 5 3 0 6 2 7 7 8 0 8 2 4 9 6 9 9 5 0 2 0 3 4 7 0 3 1 5 6 0 6 8 6 0 1 5 9 6 2 1 1 9 4 1 0 9 0 7 9 2 5 2 4 3 6 8 3 7 6 2 8 8 0 6 0 2 5 5 2 1 0 0 5 2 4 4 1 4 2 4 8 4 9 4 3 9 5 4 5 8 2 9 3 7 0 2 3 6 8 1 1 0 2 9 0 8 3 5 4 4 3 7 2 4 9 6 9 0 7 3 4 0 9 8 4 1 0 8 3 3 1 2 2 2 2 9 4 7 4 3 9 2 9 0 9 5 3 7 4 7 1 6 7 0 1 5 8 8 4 3 8 6 1 2 1 6 9 5 2 2 9 1 3 3 9 7 7 4 3 7 8 6 6 9 6 1 6 4 7 1 6 8 2 4 2 1 2 4 7 9 6 1 6 3 6 7 6 3 6 0 9 5 1 2 6 7 2 7 4 4 6 3 2 4 3 6 6 1 8 2 6 6 9 4 8 4 1 6 2 0 0 9 3 1 4 1 6 5 0 2 6 1 0 7 7 2 3 4 0 9 3 6 5 9 4 7 6 9 6 8 3 2 9 4 5 8 1 3 2
5 5 2 4 6 9 7 0 5 6 6 8 4 5 2 7 1 6 4 3 2 4 8 3 8 7 0 8 0 9 8 2 6 5 8 4 0 0 8 6 1 1 9 4 0 1 3 3 3 5 2 9 4 2 4 7 7 6 1 3 9 6 5 9 4 7 8 4 3 1 8 5 3 5 2 0 0 5 0 5 8 8 1 5 3 2 7 6 9 4 6 3 1 7 4 8 5 3 9 3 4 3 2 4 6 2 9 5 2 1 5 0 6 7 3 1 6 5 3 2 5 7 6 0 3 4 5 1 1 2 7 1 6 2 2 3 8 9 3 7 6 6 0 2 0 7 3 3 0 8 0 7 4 7 2 7 1 1 3 7 5 6 0 3 3 5 7 2 1 5 1 7 2 1 7 4 2 2 7 1 5 7 0 8 0 0 3 4 9 9 7 5 1 7 0 8 7 5 8 5 5 0 3 0 3 8 6 0 5 6 3 6 5 9 4 4 1 5 1 2 9 0 4 8 9 8 0 4 7 8 0 8 5 9 3 9 9 6 9 3 6 6 2 5 8 2 1 7 1 3 4 0 9 0 0 1 5 0 6 3 0 9 0 5 1 7 3 0 5 4 1 0 8 6 4 1 2 7 1 8 4 5 4 2 7 3 1 5 5 0 2 9 3 0 6 8 4 7 7 3
7 9 6 1 1 1 7 5 0 7 4 3 7 2 0 7 3 4 6 9 9 6 6 4 7 2 9 2 4 7 9 1 2 0 6 6 3 4 8 2 8 2 7 4 3 3 6 7 4 7 4 7 6 2 0 8 0 3 2 9 8 4 6 7 0 7 3 3 3 8 5 3 0 9 2 6 1 3 1 3 2 7 8 1 4 3 7 6 0 5 8 8 2 1 6 5 6 8 2 3 5 0 4 7 1 6 5 9 3 6 3 3 1 2 0 6 7 9 6 4 7 7 1 9 9 4 8 2 3 8 7 6 6 4 0 5 0 1 3 5 7 0 3 4 4 9 1 3 0 2 5 6 4 3 4 9 5 6 2 7 3 0 4 9 1 7 0 6 9 6 6 0 0 3 1 4 3 7 2 4 1 6 8 7 4 8 6 8 1 2 2 2 5 4 1 0 9 7 0 7 2 6 6 4 3 3 9 7 4 2 3 0 8 8 5 9 3 5 1 1 2 9 5 5 6 4 8 8 7 8 8 1 8 3 2 9 6 2 8 7 1 1 0 5 0 4 6 4 4 8 3 0 4 5 4 7 5 5 9 9 9 2 5 5 4 3 5 5 5 8 7 8 1 1 3 5 3 8 7 1 9 7 0 7 8 4 0 8 2 0 7 6 9 4 2 0 0 8 3 9
