100
0.9190441527456384 0.8811382810692606 0.4538617119088084 0.19901564847373354 0.6469856304294745 0.7347362812189201 0.7132217063076804 0.2561508861181949 0.19452753684544277 0.09747059266468205 0.9765585059964615 0.11557254461554001 0.9225344519080065 0.12261590888202412 0.5911223172297014 0.759642964612282 0.06314302361665591 0.36172863113340825 0.7501708200858646 0.0848289896387514 0.14939271232987406 0.0807643832778362 0.8299096419394174 0.11028806422291937 0.9333089983299795 0.8645370098962081 0.890080922480202 0.7456483857146514 0.7388141999414911 0.2496473274642288 0.21794522892536572 0.6088600893804403 0.34996543621509424 0.028670816088012363 0.7410533888647619 0.5493711179843405 0.7028293272402827 0.5778293674446554 0.5727839270635114 0.04747113723781493 0.9790668750652337 0.7566051713353459 0.9519106819185531 0.3107269733324076 0.07991684989052694 0.37805343423100746 0.504582422396221 0.9504666759156052 0.37300850795513574 0.5543447174746223 0.8019590998338793 0.9091473242877577 0.015575298564010187 0.8038334934554778 0.5365152053073884 0.5914112754762945 0.4902553884539882 0.5616208868184247 0.1054145751366139 0.863791976416394 0.24661332652149337 0.24772812864111415 0.02696758805848498 0.3114195363527632 0.9250006497263412 0.10069079941074144 0.7330449736077057 0.3876482675614754 0.8692233954146027 0.6178527332262546 0.9474904996611554 0.8113246477356235 0.8464532076201142 0.593347688522948 0.25936960550210786 0.6902912382743827 0.4913309792847588 0.6330684782300987 0.9371479711359096 0.7044355868476482 0.5136209594425901 0.5396192642460835 0.9381076175917037 0.44602440627186923 0.03993460934652715 0.9773057888729563 0.7565139979584424 0.011462577648098105 0.09207936633602964 0.6219058984869831 0.20072520908919866 0.35870725721062857 0.8302150578955647 0.8778070069049222 0.2329478500422193 0.7785286236179183 0.8932072919421208 0.261678694555632 0.5841335730971194 0.14065097102118584
13 27 49 36 44 40 41 34 30 19 32 24 43 34 46 42 50 11 43 48 33 35 10 34 11 42 44 13 29 8 12 49 6 26 24 9 32 22 36 50 35 21 21 24 48 20 45 20 32 48 16 42 40 14 38 45 48 12 37 18 12 20 41 23 30 11 31 34 11 36 25 14 30 49 41 17 29 25 48 14 44 26 49 11 31 17 47 43 26 28 23 47 17 12 45 26 36 15 23 38
0 7 2 8 6 9 2 9 7 5 5 1 7 7 7 5 7 4 3 1 8 2 7 5 3 9 2 9 6 4 1 5 6 9 8 6 8 1 3 1 5 1 6 1 4 2 7 5 3 1 3 4 6 8 3 7 5 6 4 8 7 7 9 3 4 4 8 7 7 1 4 1 6 4 1 4 3 9 6 5 4 3 3 8 5 4 7 2 5 7 9 1 1 8 8 9 1 5 3 4
7 0 6 8 3 8 4 5 7 9 8 2 1 8 4 3 1 1 6 7 7 9 5 5 8 1 5 9 2 3 6 6 9 5 5 3 2 4 7 5 2 3 2 1 6 8 5 3 6 8 9 8 1 7 9 7 8 1 5 3 8 3 6 7 5 2 7 8 2 4 6 8 7 4 3 4 6 3 1 1 2 2 7 8 3 2 7 8 3 6 9 8 9 7 8 4 7 6 2 3
2 6 0 8 7 8 6 7 3 8 8 8 1 2 4 3 5 7 7 2 1 1 4 6 8 3 5 5 2 8 4 5 3 7 3 5 2 9 8 7 3 7 4 2 4 6 5 9 8 3 1 1 1 5 1 2 6 8 6 1 5 5 3 1 4 2 3 2 9 9 5 5 9 6 2 6 5 1 1 7 7 5 6 2 1 4 2 7 8 3 9 5 7 2 5 4 7 4 7 5
8 8 8 0 4 3 9 9 4 6 8 7 3 9 2 7 3 3 1 6 1 4 4 1 2 8 8 5 7 7 5 5 5 4 8 9 2 4 3 5 5 4 8 8 6 2 8 3 6 1 3 5 7 6 6 9 2 3 5 1 8 4 4 1 2 3 8 5 8 7 2 3 7 5 9 1 2 9 6 1 8 3 8 5 5 3 4 3 5 6 1 3 6 9 5 6 6 8 2 5
6 3 7 4 0 9 4 7 1 1 8 5 4 4 6 2 9 2 2 9 8 1 1 2 6 7 2 8 7 8 4 2 4 4 8 7 7 2 4 4 2 5 5 4 4 4 5 5 1 3 4 8 8 9 7 4 6 3 5 9 8 2 9 6 3 4 4 1 6 7 1 3 2 3 5 2 5 4 6 5 8 7 7 2 6 9 7 6 6 1 9 6 1 4 3 4 7 8 5 1
9 8 8 3 9 0 1 1 8 3 8 2 2 2 1 3 2 4 8 3 2 8 4 1 1 7 9 7 9 5 7 9 4 2 2 1 7 3 5 2 5 2 7 5 9 2 6 5 9 5 1 5 8 1 3 5 6 2 4 2 8 4 8 3 2 6 5 9 4 1 9 1 6 8 4 2 8 4 9 3 8 1 6 4 4 9 4 7 8 7 6 4 6 7 1 7 6 5 3 2
2 4 6 9 4 1 0 8 5 9 8 3 8 2 8 8 5 5 4 8 8 3 6 9 6 6 3 9 5 5 3 4 8 3 6 2 7 3 2 4 7 1 3 2 3 1 6 3 2 1 1 8 7 7 9 6 5 6 4 4 9 6 5 7 4 4 9 5 6 8 2 8 2 4 8 8 3 2 9 3 2 6 2 3 1 3 2 5 9 5 2 8 5 9 9 4 9 2 3 1
9 5 7 9 7 1 8 0 5 3 2 4 1 7 4 5 7 6 4 1 9 8 8 4 8 7 2 1 1 7 3 5 8 4 3 8 7 6 7 2 1 1 3 1 3 4 9 9 9 4 8 9 1 6 6 4 5 7 8 2 1 4 3 6 4 2 6 5 7 2 1 8 3 2 5 9 5 7 4 5 6 6 5 1 1 3 5 2 4 6 2 7 6 2 5 2 4 1 4 3
